Nation,Date,Representative,Thumbnail,Designation,Running President/PM,Gist Link,Emotion,State of Affairs
China,16-12-2013 00:00,H.E. Wang Yi,Embark on a New Journey of China's Diplomacy,State Councilor and Foreign Minister of the People's Republic of China,Xi Jinping,https://www.fmprc.gov.cn/mfa_eng/wjdt_665385/zyjh_665391/t1109943.shtml,JOY,INTERNATIONAL AFFAIRS
Russia,13-02-2001,Vladimir Putin,Remarks at an All-Russia Meeting of the Heads of Tax Agencies and Federal Tax Police,President,Vladimir Putin,http://en.kremlin.ru/events/president/transcripts/statements/21177,NEUTRAL,DEVELOPMENT
USA,19-09-2014,Barack Obama,"
Remarks by the President at ""It's On Us"" Campaign Rollout",President,Barack Obama,https://obamawhitehouse.archives.gov/the-press-office/2014/09/19/remarks-president-its-us-campaign-rollout,OPTIMISM,OTHERS
USA,04-07-2016,Barack Obama,"
Remarks by the President at Fourth of July Celebration",President,Barack Obama,https://obamawhitehouse.archives.gov/the-press-office/2016/07/04/remarks-president-fourth-july-celebration,JOY,NATIONALISM
Russia,29-03-2010,Dmitry Medvedev,"Beginning of Meeting with Mayor of Moscow Yury Luzhkov following a Visit to the Lubyanka Metro Station, the Site of One of the Terrorist Attacks",President,Dmitry Medvedev,http://en.kremlin.ru/events/president/transcripts/statements/48613,UPSET,EXTREMISM
China,13-12-2013 00:00,H.E. Wang Yi,Remarks by Foreign Minister Wang Yi at the Reception Marking the 30th Anniversary of the Spokesperson Mechanism of the Chinese Foreign Ministry and the Advent of New Year with Foreign Journalists in China,State Councilor and Foreign Minister of the People's Republic of China,Xi Jinping,https://www.fmprc.gov.cn/mfa_eng/wjdt_665385/zyjh_665391/t1110231.shtml,JOY,NATIONALISM
Russia,18-06-2010,Dmitry Medvedev,Speech at St Petersburg International Economic Forum Plenary Session,President,Dmitry Medvedev,http://en.kremlin.ru/events/president/transcripts/statements/47910,OPTIMISM,DEVELOPMENT
USA,23-10-2019 00:00,Donald Trump,Remarks by President Trump Before Marine One Departure,President,Donald Trump,https://trumpwhitehouse.archives.gov/briefings-statements/remarks-president-trump-marine-one-departure-71/,JOY,DEVELOPMENT
USA,05-02-2019 00:00,Donald Trump,President Donald J. Trump’s State of the Union Address,President,Donald Trump,https://trumpwhitehouse.archives.gov/briefings-statements/president-donald-j-trumps-state-union-address-2/,OPTIMISM,DEVELOPMENT
USA,17-01-2015,Barack Obama,"
Weekly Address: State of the Union Is This Tuesday",President,Barack Obama,https://obamawhitehouse.archives.gov/the-press-office/2015/01/17/weekly-address-state-union-Tuesday,JOY,OTHERS
USA,06-05-2019 00:00,Donald Trump,Remarks by President Trump at 2019 White House Iftar Dinner,President,Donald Trump,https://trumpwhitehouse.archives.gov/briefings-statements/remarks-president-trump-2019-white-house-iftar-dinner/,JOY,OTHERS
USA,28-04-2014,Barack Obama,"
Remarks by President Obama to Filipino and U.S. Armed Forces at Fort Bonifacio",President,Barack Obama,https://obamawhitehouse.archives.gov/the-press-office/2014/04/28/remarks-president-obama-filipino-and-us-armed-forces-fort-bonifacio,JOY,NATIONALISM
Russia,02-06-2012 00:00,Dmitry Medvedev,Meeting with members of the Public Supporters’ Committee,President,Dmitry Medvedev,http://en.kremlin.ru/events/president/transcripts/statements/14453,NEUTRAL,DEVELOPMENT
Russia,17-09-2009,Dmitry Medvedev,Dmitry Medvedev's statement in response to the new U.S. approach to missile defence,President,Dmitry Medvedev,http://en.kremlin.ru/events/president/transcripts/statements/5496,JOY,INTERNATIONAL AFFAIRS
Russia,09-08-2011 00:00,Dmitry Medvedev,Dmitry Medvedev's address at the plenary session of the Global Policy Forum,President,Dmitry Medvedev,http://en.kremlin.ru/events/president/transcripts/statements/12612,UPSET,OTHERS
USA,19-09-2017 00:00,Donald Trump,Remarks by President Trump at Luncheon Hosted by the Secretary General of the United Nations,President,Donald Trump,https://trumpwhitehouse.archives.gov/briefings-statements/remarks-president-trump-luncheon-hosted-secretary-general-united-nations/,OPTIMISM,INTERNATIONAL AFFAIRS
USA,07-06-2014,Barack Obama,"
Weekly Address: Supporting America’s Students",President,Barack Obama,https://obamawhitehouse.archives.gov/the-press-office/2014/06/07/weekly-address-supporting-america-s-students,OPTIMISM,NATIONALISM
USA,29-06-2021 00:00,Joe Biden,Remarks by President Biden on the Bipartisan Infrastructure Framework,President,Joe Biden,https://www.whitehouse.gov/briefing-room/speeches-remarks/2021/06/29/remarks-by-president-biden-on-the-bipartisan-infrastructure-framework/,NEUTRAL,DEVELOPMENT
United Kingdom,03-Jul-20,Boris Johnson,Prime Minister's statement on coronavirus (COVID-19): 3 July 2020,Prime Minister,Boris Johnson,https://www.gov.uk/government/speeches/prime-ministers-statement-on-coronavirus-covid-19-3-july-2020,JOY,DEVELOPMENT
Russia,26-05-2009,Dmitry Medvedev,Excerpts from Transcript of Meeting with Business Community Representatives,President,Dmitry Medvedev,http://en.kremlin.ru/events/president/transcripts/statements/4202,NEUTRAL,DEVELOPMENT
Russia,06-08-2006 00:00,Vladimir Putin,Opening Address at the 8th Union of Russian Rectors,President,Vladimir Putin,http://en.kremlin.ru/events/president/transcripts/statements/23620,NEUTRAL,DEVELOPMENT
USA,29-06-2013,Barack Obama,"
Weekly Address: Confronting the Growing Threat of Climate Change",President,Barack Obama,https://obamawhitehouse.archives.gov/the-press-office/2013/06/29/weekly-address-confronting-growing-threat-climate-change,UPSET,INTERNATIONAL AFFAIRS
Russia,10-10-2019 00:00,Vladimir Putin,International Forum Russia – Country of Sports,President,Vladimir Putin,http://en.kremlin.ru/events/president/transcripts/statements/61768,JOY,DEVELOPMENT
China,31-10-2014 00:00,Li Keqiang,Let Us Join Hands to Promote Security and Prosperity of Afghanistan and the Region,Premier,Xi Jinping,https://www.fmprc.gov.cn/mfa_eng/wjdt_665385/zyjh_665391/t1206566.shtml,OPTIMISM,OTHERS
Russia,08-08-2008 00:00,Dmitry Medvedev,Statement on the Situation in South Ossetia,President,Dmitry Medvedev,http://en.kremlin.ru/events/president/transcripts/statements/1042,UPSET,INTERNATIONAL AFFAIRS
China,15-06-2019 00:00,H.E. Xi Jinping,Working Together for New Progress of Security and Development in Asia,President,Xi Jinping,https://www.fmprc.gov.cn/mfa_eng/wjdt_665385/zyjh_665391/t1672539.shtml,JOY,INTERNATIONAL AFFAIRS
Russia,24-10-2019,Vladimir Putin,Closing remarks at the plenary session of the Russia-Africa Summit,President,Vladimir Putin,http://en.kremlin.ru/events/president/transcripts/statements/61902,JOY,INTERNATIONAL AFFAIRS
USA,28-06-2021 00:00,Joe Biden,Statement by President Joe Biden on House Passage of the National Science Foundation for the Future Act and the Department of Energy Science for the Future Act,President,Joe Biden,https://www.whitehouse.gov/briefing-room/statements-releases/2021/06/28/statement-by-president-joe-biden-on-house-passage-of-the-national-science-foundation-for-the-future-act-and-the-department-of-energy-science-for-the-future-act/,OPTIMISM,DEVELOPMENT
USA,04-07-2013,Barack Obama,"
Remarks by the President at Fourth of July Celebration",President,Barack Obama,https://obamawhitehouse.archives.gov/the-press-office/2013/07/04/remarks-president-fourth-july-celebration,JOY,NATIONALISM
USA,20-09-2021 00:00,Joe Biden,"Statement by President Joe Biden on the Tenth Anniversary of the Repeal of Don’t Ask, Don’t Tell",President,Joe Biden,https://www.whitehouse.gov/briefing-room/statements-releases/2021/09/20/statement-by-president-joe-biden-on-the-tenth-anniversary-of-the-repeal-of-dont-ask-dont-tell/,JOY,OTHERS
United Kingdom,16-Mar-20,Boris Johnson,Prime Minister's statement on coronavirus (COVID-19): 16 March 2020,Prime Minister,Boris Johnson,https://www.gov.uk/government/speeches/pm-statement-on-coronavirus-16-march-2020,UPSET,DEVELOPMENT
Russia,05-08-2005 00:00,Vladimir Putin,Speech at Celebratory Concert for Veterans of the Great Patriotic War,President,Vladimir Putin,http://en.kremlin.ru/events/president/transcripts/statements/22955,UPSET,NATIONALISM
USA,14-08-2021 00:00,Joe Biden,Statement by President Joe Biden on Haiti,President,Joe Biden,https://www.whitehouse.gov/briefing-room/statements-releases/2021/08/14/statement-by-president-joe-biden-on-haiti/,UPSET,INTERNATIONAL AFFAIRS
USA,10-01-2018 00:00,Donald Trump,Remarks by President Trump in Cabinet Meeting,President,Donald Trump,https://trumpwhitehouse.archives.gov/briefings-statements/remarks-president-trump-cabinet-meeting-6/,OPTIMISM,DEVELOPMENT
Russia,05-08-2009 00:00,Dmitry Medvedev,"Speech at Ceremony Conferring the Titles of City of Military Glory on Vyazma, Kronstadt and Naro-Fominsk",President,Dmitry Medvedev,http://en.kremlin.ru/events/president/transcripts/statements/4006,JOY,NATIONALISM
Russia,21-02-2003,Vladimir Putin,Speech at an All-Army Conference of Armed Forces Officers,President,Vladimir Putin,http://en.kremlin.ru/events/president/transcripts/statements/21884,JOY,NATIONALISM
USA,07-03-2015,Barack Obama,"
Weekly Address: Let Girls Learn",President,Barack Obama,https://obamawhitehouse.archives.gov/the-press-office/2015/03/07/weekly-address-let-girls-learn,NEUTRAL,OTHERS
USA,09-09-2018 00:00,Donald Trump,Remarks by President Trump at Flight 93 September 11 Memorial Service,President,Donald Trump,https://trumpwhitehouse.archives.gov/briefings-statements/remarks-president-trump-flight-93-september-11-memorial-service/,UPSET,NATIONALISM
USA,25-04-2013,Barack Obama,"
Remarks by President Obama at Dedication of the George W. Bush Presidential Library",President,Barack Obama,https://obamawhitehouse.archives.gov/the-press-office/2013/04/25/remarks-president-obama-dedication-george-w-bush-presidential-library,JOY,OTHERS
United Kingdom,10-May-20,Boris Johnson,Prime Minister's statement on coronavirus (COVID-19): 10 May 2020,Prime Minister,Boris Johnson,https://www.gov.uk/government/speeches/pm-address-to-the-nation-on-coronavirus-10-may-2020,OPTIMISM,DEVELOPMENT
China,28-09-2015 00:00,Xi Jinping,Remarks at the Ceremony of Presenting Zun of Peace from China to the United Nations,President,Xi Jinping,https://www.fmprc.gov.cn/mfa_eng/wjdt_665385/zyjh_665391/t1301192.shtml,JOY,OTHERS
United Kingdom,09-Nov-20,Boris Johnson,Prime Minister's statement on coronavirus (COVID-19): 9 November 2020,Prime Minister,Boris Johnson,https://www.gov.uk/government/speeches/prime-ministers-statement-on-coronavirus-covid-19-9-november-2020,OPTIMISM,DEVELOPMENT
Russia,30-03-2006,Vladimir Putin,Opening Address at Meeting on Developing Russia's Nuclear Weapons Complex,President,Vladimir Putin,http://en.kremlin.ru/events/president/transcripts/statements/23512,NEUTRAL,DEVELOPMENT
Russia,19-12-2016,Vladimir Putin,"Meeting with Sergei Lavrov, Sergei Naryshkin and Alexander Bortnikov",President,Vladimir Putin,http://en.kremlin.ru/events/president/transcripts/statements/53500,UPSET,OTHERS
USA,24-09-2018 00:00,Donald Trump,Remarks by President Trump at “Global Call to Action on the World Drug Problem” Event,President,Donald Trump,https://trumpwhitehouse.archives.gov/briefings-statements/remarks-president-trump-global-call-action-world-drug-problem-event/,OPTIMISM,DEVELOPMENT
China,26-11-2013 00:00,Li Keqiang,Remarks by H.E. Li Keqiang Premier of the State Council of the People's Republic of China at Third China-Central and Eastern European Countries Economic and Trade Forum,State Councilor and Foreign Minister of the People's Republic of China,Xi Jinping,https://www.fmprc.gov.cn/mfa_eng/wjdt_665385/zyjh_665391/t1109671.shtml,OPTIMISM,DEVELOPMENT
Russia,03-03-2000 00:00,Vladimir Putin,Excerpts from Address to a Nationwide Conference on the Development of the Fuel and Energy Sector,President,Vladimir Putin,http://en.kremlin.ru/events/president/transcripts/statements/21184,NEUTRAL,DEVELOPMENT
USA,17-02-2016,Barack Obama,"
Remarks by the President on the Cybersecurity National Action Plan",President,Barack Obama,https://obamawhitehouse.archives.gov/the-press-office/2016/02/17/remarks-president-cybersecurity-national-action-plan,JOY,DEVELOPMENT
USA,18-06-2016,Barack Obama,"
Weekly Address: Standing with Orlando",President,Barack Obama,https://obamawhitehouse.archives.gov/the-press-office/2016/06/18/weekly-address-standing-orlando,UPSET,DEVELOPMENT
United Kingdom,07-Nov-16,Theresa May,PM statement following bilateral talks with Prime Minister Modi: 7 November 2016,Prime Minister,Theresa May,https://www.gov.uk/government/speeches/pm-statement-following-bilateral-talks-with-prime-minister-modi-7-november-2016,OPTIMISM,INTERNATIONAL AFFAIRS
USA,28-04-2014,Barack Obama,"
Remarks by President Obama at Commercial Deals Signing Ceremony",President,Barack Obama,https://obamawhitehouse.archives.gov/the-press-office/2014/04/28/remarks-president-obama-commercial-deals-signing-ceremony,OPTIMISM,DEVELOPMENT
USA,01-07-2014,Barack Obama,"
Remarks by the President on the Economy",President,Barack Obama,https://obamawhitehouse.archives.gov/the-press-office/2014/07/01/remarks-president-economy,OPTIMISM,DEVELOPMENT
USA,06-06-2014,Barack Obama,"
Remarks by President Obama at the 70th Anniversary of D-Day -- Omaha Beach, Normandy",President,Barack Obama,https://obamawhitehouse.archives.gov/the-press-office/2014/06/06/remarks-president-obama-70th-anniversary-d-day-omaha-beach-normandy,JOY,NATIONALISM
China,11-09-2013 00:00,Li Keqiang,The Chinese Economy: Reform and Innovation For Sustained and Healthy Development,State Councilor and Foreign Minister of the People's Republic of China,Xi Jinping,https://www.fmprc.gov.cn/mfa_eng/wjdt_665385/zyjh_665391/t1075946.shtml,OPTIMISM,INTERNATIONAL AFFAIRS
China,31-03-2018 00:00,H.E. Wang Yi,Working Together to Write a New Chapter of Sub-regional Cooperation,State Councilor and Foreign Minister of the People's Republic of China,Xi Jinping,https://www.fmprc.gov.cn/mfa_eng/wjdt_665385/zyjh_665391/t1547074.shtml,OPTIMISM,INTERNATIONAL AFFAIRS
USA,01-11-2021 00:00,Joe Biden,Remarks by President Biden at the COP26 Leaders Statement,President,Joe Biden,https://www.whitehouse.gov/briefing-room/speeches-remarks/2021/11/01/remarks-by-president-biden-at-the-cop26-leaders-statement/,OPTIMISM,DEVELOPMENT
USA,25-06-2016,Barack Obama,"
Weekly Address: Designating Stonewall National Monument",President,Barack Obama,https://obamawhitehouse.archives.gov/the-press-office/2016/06/25/weekly-address-designating-stonewall-national-monument,JOY,OTHERS
USA,02-08-2014,Barack Obama,"
Weekly Address: It's Time for Congress to Help the Middle Class",President,Barack Obama,https://obamawhitehouse.archives.gov/the-press-office/2014/08/02/weekly-address-its-time-congress-help-middle-class,JOY,DEVELOPMENT
USA,25-04-2013,Barack Obama,"
Remarks by the President at Memorial Service -- Waco, TX",President,Barack Obama,https://obamawhitehouse.archives.gov/the-press-office/2013/04/25/remarks-president-memorial-service-waco-tx,JOY,OTHERS
China,20-01-2020 00:00,H.E. Wang Yi,Remarks by H.E. Wang Yi State Councilor and Minister of Foreign Affairs of The People's Republic of China At the MFA 2020 New Year Reception,State Councilor and Foreign Minister of the People's Republic of China,Xi Jinping,https://www.fmprc.gov.cn/mfa_eng/wjdt_665385/zyjh_665391/t1734343.shtml,JOY,INTERNATIONAL AFFAIRS
USA,22-06-2015,Barack Obama,"
Remarks by the President at the 2015 Iftar Dinner",President,Barack Obama,https://obamawhitehouse.archives.gov/the-press-office/2015/06/23/remarks-president-2015-iftar-dinner,JOY,OTHERS
USA,17-09-2015,Barack Obama,"
Remarks by the President in Meeting with Specialist Aleksander Skarlatos, Airman Spencer Stone, and Anthony Sadler",President,Barack Obama,https://obamawhitehouse.archives.gov/the-press-office/2015/09/17/remarks-president-meeting-specialist-aleksander-skarlatos-airman-spencer,JOY,OTHERS
USA,24-01-2018 00:00,Donald Trump,Remarks by President Trump at Working Session with Mayors,President,Donald Trump,https://trumpwhitehouse.archives.gov/briefings-statements/remarks-president-trump-working-session-mayors/,OPTIMISM,DEVELOPMENT
USA,10-04-2015,Barack Obama,"
Remarks by President Obama at the Civil Society Forum",President,Barack Obama,https://obamawhitehouse.archives.gov/the-press-office/2015/04/10/remarks-president-obama-civil-society-forum,NEUTRAL,OTHERS
